[2025-04-11 16:17:44,591] [INFO] Application closing.
[2025-04-11 16:37:12,352] [INFO] Adjusting browser window.
[2025-04-11 16:37:17,096] [INFO] Locating sidebar...
[2025-04-11 16:37:17,105] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:37:19,753] [INFO] Sidebar activated.
[2025-04-11 16:37:19,763] [INFO] Iteration 1/5
[2025-04-11 16:37:19,782] [INFO] Checking sidebar presence...
[2025-04-11 16:37:19,796] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:37:20,078] [INFO] Starting message flow.
[2025-04-11 16:37:23,846] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:37:27,337] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png
[2025-04-11 16:37:29,012] [INFO] Extracted: {'person_name': 'Shahadat Hossain Armaan', 'item_name': 'Samsung Galaxy A20s'}
[2025-04-11 16:37:29,025] [INFO] Recorded info: {'person_name': 'Shahadat Hossain Armaan', 'item_name': 'Samsung Galaxy A20s'}
[2025-04-11 16:37:29,042] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png' with confidence 0.75
[2025-04-11 16:37:32,554] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\typemsg.png
[2025-04-11 16:37:34,673] [INFO] Typed message.
[2025-04-11 16:37:35,693] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png' with confidence 0.75
[2025-04-11 16:37:39,230] [INFO] Clicked element: C:\Users\KAWSER\Desktop\fiverr\FMA\msg2.png
[2025-04-11 16:37:47,636] [INFO] Iteration 2/5
[2025-04-11 16:37:47,645] [INFO] Checking sidebar presence...
[2025-04-11 16:37:47,661] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:37:47,867] [INFO] Starting message flow.
[2025-04-11 16:37:51,597] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png' with confidence 0.75
[2025-04-11 16:37:51,831] [ERROR] Failed to click image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': 
[2025-04-11 16:37:51,844] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msgagain.png' with confidence 0.75
[2025-04-11 16:37:52,048] [ERROR] Error handling 'msg again' for 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': 
[2025-04-11 16:37:52,061] [ERROR] Flow error: 
[2025-04-11 16:37:54,104] [INFO] Iteration 3/5
[2025-04-11 16:37:54,134] [INFO] Checking sidebar presence...
[2025-04-11 16:37:54,144] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:37:54,342] [INFO] User requested stop.
[2025-04-11 16:37:54,387] [INFO] Starting message flow.
[2025-04-11 16:37:54,599] [ERROR] Failed to click image 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': Operation halted by user during image search.
[2025-04-11 16:37:54,600] [ERROR] Error handling 'msg again' for 'C:\Users\KAWSER\Desktop\fiverr\FMA\msg1.png': Operation halted by user during image search.
[2025-04-11 16:37:54,606] [ERROR] Flow error: Operation halted by user during image search.
[2025-04-11 16:37:54,618] [INFO] Automation ended.
[2025-04-11 16:42:50,844] [INFO] Iteration 1/5
[2025-04-11 16:42:50,853] [INFO] Checking sidebar presence...
[2025-04-11 16:42:50,862] [INFO] Searching image 'C:\Users\KAWSER\Desktop\fiverr\FMA\sidebar0.png' with confidence 0.55
[2025-04-11 16:42:51,047] [INFO] Starting message flow.
